Complaint,Category,Priority
Ayaw ilabas ng mga opisyal ng barangay ang detalye ng gastos para sa piyesta.,Governance and Integrity Concerns,High
Good day. I would like to report the large pothole right in front of the barangay hall. It has been there for weeks and is causing problems for both motorists and pedestrians. It looks unsightly in front of the government office and may cause accidents if left unrepaired. We hope immediate action can be taken to fix it.,Roads & Infrastructure,High
Magandang araw. Nais ko pong ireport ang malaking butas sa harap mismo ng barangay hall. Matagal na po itong naroroon at nagdudulot ng abala sa mga motorista at pedestrian. Hindi rin maganda tingnan sa tapat ng opisina ng gobyerno at maaaring magdulot ng aksidente kung hindi maaayos agad. Umaasa kami na agad itong aksyunan.,Roads & Infrastructure,High
"The road going to the public market is badly damaged, making it difficult for vendors, buyers, and delivery vehicles to pass through. This affects businesses and daily activities of residents. We request urgent repairs so that the road becomes safe and accessible again.",Roads & Infrastructure,High
"Sira-sira na ang kalsadang papunta sa palengke, kaya nahihirapan ang mga nagtitinda, mamimili, at delivery trucks na dumaan. Naaapektuhan nito ang kabuhayan at pang-araw-araw na gawain ng mga residente. Nais naming hilingin na ito ay agarang ayusin upang maging ligtas at magamit muli",Roads & Infrastructure,High
"The road in our area is filled with multiple potholes that make driving and even walking extremely unsafe. Motorcycles and tricycles often swerve suddenly to avoid them, which could easily cause accidents. We hope the local government can prioritize resurfacing this road for the safety of everyone",Roads & Infrastructure,High
Puno ng mga butas ang kalsada sa aming lugar kaya delikado ang pagmamaneho at maging ang paglalakad. Madalas biglang umiwas ang mga motorsiklo at traysikel kaya nagiging peligroso. Sana ay unahin ng lokal na pamahalaan ang pag-aayos at pagpapatag ng kalsada para sa kaligtasan ng lahat,Roads & Infrastructure,High
"We would like to raise our concern about the damaged bridge in our community. The cracks and unstable parts make it unsafe to cross, especially for children and elderly residents. Since it is a main passageway, this poses serious risks. Immediate repairs are necessary before any accident happens",Roads & Infrastructure,High
"Nais naming iparating ang aming hinaing tungkol sa sira-sirang tulay sa aming komunidad. May mga bitak at hindi matibay na bahagi kaya delikadong tawirin lalo na ng mga bata at matatanda. Dahil ito ang pangunahing daanan, malaking panganib ang dala nito. Kailangan itong ayusin agad bago may mangyaring aksidente.",Roads & Infrastructure,High
A section of the road has collapsed and has been left unrepaired for a long time. It blocks access and forces drivers to take longer routes. The area is also dangerous at night since there are no proper warning signs. We appeal for urgent repairs to restore safe passage.,Roads & Infrastructure,High
May bahagi ng kalsada na gumuho at matagal nang hindi naayos. Nagsisilbi itong harang at napipilitan ang mga motorista na magdetour ng mas malayo. Mapanganib din ito lalo na sa gabi dahil walang tamang babala. Hinihiling namin na ito ay agarang kumpunihin upang maging ligtas ang daan.,Roads & Infrastructure,High
"The road leading to the local school is full of potholes, making it difficult and unsafe for children to walk or commute every day. During rainy days, the holes fill with water, making the road muddy and slippery. We hope this can be fixed soon for the safety of the students.",Roads & Infrastructure,High
"Puno ng butas ang kalsadang papunta sa paaralan kaya mahirap at delikado para sa mga bata na maglakad o bumiyahe araw-araw. Tuwing umuulan, napupuno ng tubig ang mga butas kaya nagiging maputik at madulas ang daan. Umaasa kami na maaayos ito agad para sa kaligtasan ng mga mag-aaral.",Roads & Infrastructure,High
"The road widening project that started months ago has been left unfinished. Construction materials are still lying around, and the road is only half usable, which causes traffic congestion. Residents are frustrated because there is no clear update on when it will be completed. We ask for accountability and action.",Roads & Infrastructure,Medium
"Ang proyekto ng pagpapalapad ng kalsada na sinimulan ilang buwan na ang nakalilipas ay hindi natapos. Nakasabit pa rin ang mga materyales sa kalsada at kalahati lang ang nagagamit, kaya nagdudulot ng trapiko. Naiinis na ang mga residente dahil wala ring malinaw na update kung kailan matatapos. Nais naming humingi ng paliwanag at agarang aksyon.",Roads & Infrastructure,Medium
"After the recent heavy rains, the highway in our area has suffered major damage with cracks and potholes appearing everywhere. This makes travel unsafe for private vehicles and public transport alike. We urge the government to repair the damage immediately before more accidents occur.",Roads & Infrastructure,High
"Matapos ang malakas na ulan kamakailan, malubha ang naging pinsala sa highway sa aming lugar. May mga bitak at butas sa iba’t ibang bahagi na nagiging sanhi ng panganib sa mga sasakyan, pampubliko man o pribado. Nananawagan kami sa pamahalaan na ito’y agarang ayusin bago pa lumala ang aksidente.",Roads & Infrastructure,High
"The road in our community has long cracks that make driving unsafe, especially for motorcycles. If not fixed soon, the cracks may worsen and cause bigger problems. We hope repairs can be scheduled before the damage becomes more costly and hazardous.",Roads & Infrastructure,High
"May mahahabang bitak ang kalsada sa aming lugar na nagiging sanhi ng panganib sa pagmamaneho, lalo na sa mga motorsiklo. Kung hindi agad maaayos, posibleng lumala pa ito at magdulot ng mas malaking pinsala. Sana ay maisama agad sa schedule ng pagkukumpuni.",Roads & Infrastructure,High
"Many of the roads in our barangay remain unpaved, making access difficult for residents, especially during the rainy season when the path becomes muddy and slippery. This situation greatly affects transportation, especially for students and workers. We hope the roads can finally be paved.",Roads & Infrastructure,High
"Marami pa ring hindi sementadong kalsada sa aming barangay kaya mahirap ang pagdaan, lalo na kapag tag-ulan dahil nagiging putikan at madulas ang daan. Malaki ang epekto nito sa transportasyon, lalo na sa mga estudyante at manggagawa. Umaasa kami na masemento na ito.",Roads & Infrastructure,Medium
"Hindi na dumadaan sa tamang ruta ang mga jeep sa barangay plaza. Ang daming commuters ang nahihirapan kasi kailangan pa nilang maglakad ng malayo bago makasakay. Nakakaapekto ito lalo na sa mga estudyante, senior citizens, at mga empleyado na nagmamadali papasok. Bukod pa rito, nagiging mas magulo ang traffic flow dahil sa pagbabago ng ruta na walang malinaw na abiso. Sana makialam ang barangay at i-regulate ang mga jeep para bumalik sila sa tamang ruta at hindi mahirapan ang mga residente.",Transportation,Low
Yung tricycle na sinakyan ko sobrang mahal maningil ng pamasahe. Hindi siya tumutugma sa standard fare na dapat sinusunod ng mga drivers. Nakakabigat ito sa mga pasahero lalo na yung araw-araw nagcocommute papasok sa trabaho o school. Wala ring malinaw na fare matrix na naka-display kaya parang arbitrary lang ang singil. Sana magkaroon ng mas mahigpit na monitoring at regulation para hindi maabuso ang mga commuters at maging fair ang pamasahe para sa lahat.,Transportation,Medium
"Public transport fares have increased unfairly without clear justification. This is burdensome for commuters, especially those who travel daily to work or school. The quality of service has not improved—vehicles are often in poor condition, there are not enough units, and the rides remain crowded. We hope that authorities provide a clear explanation for the fare increase and ensure transparency and proper consultation before implementing additional charges.",Transportation,High
"Walang sapat na tricycle na available sa harap ng eskwelahan tuwing gabi. Maraming estudyante at guro ang nahihirapan umuwi dahil limitado ang mga sasakyan, lalo na kapag gabi at medyo delikado na ang paligid. Kadalasan, napipilitan pa silang maghintay ng matagal o maglakad ng malayo para makahanap ng tricycle. Sana ay masiguro ng barangay o transport authorities na may sapat na tricycle service sa gabi para sa kaligtasan at kaginhawaan ng lahat.",Transportation,High
"There are not enough tricycles available in front of the school at night. Many students and teachers have difficulty going home because the number of vehicles is limited, especially at night when the area is somewhat unsafe. Often, they are forced to wait for a long time or walk a long distance to find a tricycle. We hope the barangay or transport authorities can ensure adequate tricycle service at night for the safety and convenience of everyone.""",Transportation,High
"Walang sapat na tricycle sa harap ng eskwelahan tuwing gabi. Nahihirapan ang maraming estudyante at guro na umuwi dahil limitado ang bilang ng sasakyan, lalo na sa gabi kapag delikado ang paligid. Madalas, napipilitan silang maghintay nang matagal o maglakad ng malayo para makahanap ng tricycle. Sana ay masiguro ng barangay o transport authorities na may sapat na tricycle service sa gabi para sa kaligtasan at kaginhawaan ng lahat.",Transportation,High
Yung tricycle na sinakyan ko sobrang mahal maningil ng pamasahe. Hindi siya tumutugma sa standard fare na dapat sinusunod ng mga drivers. Nakakabigat ito sa mga pasahero lalo na yung araw-araw nagcocommute papasok sa trabaho o school. Wala ring malinaw na fare matrix na naka-display kaya parang arbitrary lang ang singil. Sana magkaroon ng mas mahigpit na monitoring at regulation para hindi maabuso ang mga commuters at maging fair ang pamasahe para sa lahat.,Transportation,Medium
"The tricycle I rode charged an excessively high fare. The price did not match the standard rates that drivers are supposed to follow. This creates a financial burden for passengers, especially those who commute daily to work or school. There is also no clear fare matrix displayed, making the charges seem arbitrary. We hope there will be stricter monitoring and regulation to ensure fair fares for everyone.",Transportation,Medium
"Mahal ang singil ng tricycle na sinakyan ko. Hindi ito tumutugma sa standard na pamasahe na dapat sinusunod ng mga drivers. Mabigat ito sa bulsa ng mga pasahero, lalo na yung araw-araw nagcocommute papunta sa trabaho o paaralan. Wala ring malinaw na fare matrix kaya parang arbitrary lang ang singil. Sana magkaroon ng mas mahigpit na monitoring at regulation para maging patas ang pamasahe para sa lahat.",Transportation,Medium
"Laging puno ang bus at hindi humihinto sa barangay plaza. Maraming commuters ang nahihirapang makasakay, lalo na yung mga estudyante at manggagawa. Kadalasan, napipilitan silang maghintay ng matagal o maglakad ng malayo para sumakay sa susunod na bus. Sana ay masiguro ng transport authorities na humihinto ang mga bus sa tamang ruta at may sapat na seating para sa lahat ng pasahero.",Transportation,High
"The buses are always full and do not stop at the barangay plaza. Many commuters, especially students and workers, have difficulty boarding. Often, they are forced to wait a long time or walk a long distance to catch the next bus. We hope the transport authorities can ensure that buses stop at the correct routes and provide enough seating for all passengers.""",Transportation,High
"Laging puno ang bus at hindi humihinto sa barangay plaza. Nahihirapan ang maraming commuters, lalo na ang mga estudyante at manggagawa, na makasakay. Madalas, napipilitan silang maghintay ng matagal o maglakad ng malayo para sa susunod na bus. Sana tiyakin ng transport authorities na humihinto ang mga bus sa tamang ruta at may sapat na upuan para sa lahat ng pasahero.",Transportation,High
Ang traffic sa harap ng palengke sobrang heavy tuwing peak hours. Maraming commuters at motorists ang nahihirapan dahil mabagal ang daloy ng trapiko. Sana ay magkaroon ng mas maayos na traffic management para hindi na masyadong congested ang lugar.,Transportation,High
The traffic in front of the market is extremely heavy during peak hours. Many commuters and motorists are having difficulty because the traffic flow is very slow. We hope there will be better traffic management to reduce congestion.,Transportation,High
ng trapiko sa harap ng palengke ay sobrang sikip tuwing peak hours. Nahihirapan ang maraming commuters at motorista dahil mabagal ang daloy ng trapiko. Sana ay magkaroon ng mas maayos na traffic management upang mabawasan ang congestion.,Transportation,High
Madaling blocked ang intersections dahil sa mga jeep na nagpipila at hindi sumusunod sa tamang traffic rules. Nagdudulot ito ng delay sa mga motorista at pasahero. Sana ay mas mahigpit na i-monitor ang mga jeep at ayusin ang flow ng trapiko.,Transportation,High
Intersections are often blocked by jeepneys that line up improperly and do not follow traffic rules. This causes delays for motorists and passengers. We hope jeepneys are strictly monitored and traffic flow is improved.,Transportation,Medium
Madaling ma-block ang mga intersection dahil sa mga jeep na hindi sumusunod sa tamang traffic rules. Nagdudulot ito ng pagkaantala sa mga motorista at pasahero. Sana ay mahigpit na i-monitor ang mga jeep at ayusin ang daloy ng trapiko.,Transportation,Medium
Maraming kalsada ang walang malinaw na traffic signs kaya nagiging sanhi ng aksidente at kalituhan sa drivers. Sana ay lagyan ng proper signs ang mga kalsada para maging maayos ang daloy ng trapiko.,Transportation,Medium
"Many roads lack clear traffic signs, causing accidents and confusion among drivers. We hope proper signs are installed to ensure smooth traffic flow.",Transportation,High
Maraming kalsada ang walang malinaw na traffic signs kaya nagdudulot ng aksidente at kalituhan sa mga driver. Sana ay ilagay ang tamang signs para maayos ang daloy ng trapiko.,Transportation,High
Walang maayos na pedestrian lanes sa maraming streets kaya delikado para sa mga naglalakad. Madalas silang mapapadaan sa gitna ng trapiko. Sana ay lagyan ng proper sidewalks o lanes para sa kaligtasan ng pedestrians.,Transportation,High
"There are no proper pedestrian lanes on many streets, making it dangerous for people walking. They often have to cross through traffic. We hope proper sidewalks or lanes are installed for pedestrian safety.",Transportation,Medium
Maraming kalye ang walang maayos na pedestrian lanes kaya delikado para sa mga naglalakad. Kadalasan ay napipilitan silang tumawid sa gitna ng trapiko. Sana ay maglagay ng tamang sidewalks o lanes para sa kaligtasan ng pedestrians.,Transportation,Medium
"During the rainy season, roads in our barangay are often flooded. It is difficult for motorcycles and tricycles to pass, and it is also dangerous for pedestrians. We hope the barangay ensures a proper drainage system to prevent frequent flooding and keep residents safe.",Transportation,High
"Tuwing umuulan, mabilis mabulabog ang kalsada dahil sa baha sa aming barangay. Mahirap dumaan lalo na sa mga motor at tricycle, at delikado rin para sa mga naglalakad. Sana ay masiguro ng barangay na may maayos na drainage system para hindi lagi itong bumaha at maging ligtas ang mga residente.",Transportation,High
"Tuwing tag-ulan, madalas bumaha sa mga kalsada ng aming barangay. Mahirap dumaan lalo na sa mga motor at tricycle, at delikado rin para sa mga naglalakad. Sana ay masiguro ng barangay ang maayos na drainage system para hindi na lagi itong bumaha at maging ligtas ang mga residente.",Transportation,High
"Sana maayos na ang baha sa harap ng school para makadaan ng maayos ang mga estudyante. Tuwing umuulan, nahihirapan silang maglakad dahil basa at maputik ang daan. Delikado rin ito, lalo na para sa mga bata. Sana ay mapabilis ang pag-aayos ng drainage o daan para safe at accessible ang ruta ng mga estudyante.",Transportation,High
"We hope the flooding in front of the school is fixed so students can pass safely. During rainy days, walking becomes difficult because the road is wet and muddy. It is also dangerous, especially for children. We hope the drainage or road can be repaired quickly to make the route safe and accessible for students.",Transportation,High
"Sana ay maayos na ang baha sa harap ng paaralan para makadaan nang maayos ang mga estudyante. Tuwing umuulan, nahihirapan silang maglakad dahil basa at maputik ang daan. Delikado rin ito, lalo na para sa mga bata. Sana ay mapabilis ang pag-aayos ng drainage o daan para maging ligtas at accessible ang ruta ng mga estudyante.",Transportation,High
Yung mga electric posts na sira o hindi naayos ay delikado para sa mga residente. May mga exposed wires at may posibilidad pang bumagsak lalo na kapag umuulan o may malakas na hangin. Nakakatakot para sa mga bata at kahit sa mga naglalakad o nagmamaneho. Sana ay agarang ma-repair o mapalitan ang mga sira na poste para maging safe ang lugar.,Electricity Services,High
"The broken or unrepaired electric posts pose a danger to residents. There are exposed wires and they could fall, especially during rain or strong winds. This is frightening for children and also dangerous for pedestrians and motorists. We hope the damaged posts will be repaired or replaced immediately to ensure the area is safe.",Electricity Services,High
Ang mga sira o hindi naayos na electric posts ay nagdudulot ng panganib sa mga residente. May mga exposed wires at maaari pang bumagsak lalo na kapag umuulan o may malakas na hangin. Delikado ito para sa mga bata at sa mga naglalakad o nagmamaneho. Sana ay agad ma-repair o mapalitan ang mga sira na poste para maging ligtas ang lugar.,Electricity Services,High
Walang kuryente sa amin simula kahapon dahil sa bagyo. Napakahirap lalo na para sa mga estudyante na kailangan mag-aral sa gabi at sa mga pamilya na kailangan ang kuryente sa pang-araw-araw na gawain. Sana ay maibalik agad ang kuryente at may malinaw na update kung gaano katagal bago ito maayos.,Electricity Services,Medium
"There has been no electricity in our area since yesterday due to the storm. This is very difficult, especially for students who need to study at night and for families who rely on electricity for daily activities. We hope the power will be restored soon and that there will be clear updates on how long the outage will last.""",Electricity Services,Medium
Walang kuryente sa amin simula kahapon dahil sa bagyo. Napakahirap nito lalo na para sa mga estudyante na kailangang mag-aral sa gabi at sa mga pamilya na umaasa sa kuryente sa pang-araw-araw na gawain. Sana ay maibalik agad ang kuryente at magkaroon ng malinaw na update kung gaano katagal bago ito maayos.,Electricity Services,Medium
Sirang poste ng ilaw sa kanto ng eskwelahan ang delikado para sa mga estudyante at residente. Madilim ang paligid tuwing gabi kaya mataas ang panganib na may aksidente o masamang mangyari. Sana ay ma-repair o mapalitan agad ang poste para maging ligtas ang daan at paligid ng paaralan.,Electricity Services,Medium
"The streetlight post at the corner of the school is broken, posing a danger to students and residents. The area becomes very dark at night, increasing the risk of accidents or other incidents. We hope the post will be repaired or replaced promptly to make the road and school surroundings safe.",Electricity Services,Medium
Ang poste ng ilaw sa kanto ng eskwelahan ay sira at delikado para sa mga estudyante at residente. Madilim ang paligid tuwing gabi kaya mataas ang panganib ng aksidente o ibang insidente. Sana ay maayos o mapalitan agad ang poste para maging ligtas ang daan at paligid ng paaralan.,Electricity Services,Medium
Mahal ang singil sa kuryente sa aming lugar. Nakakabigat ito lalo na sa mga pamilyang araw-araw umaasa sa kuryente para sa kanilang pang-araw-araw na pangangailangan. Wala ring malinaw na paliwanag kung bakit tumaas ang singil. Sana ay magbigay ang electric company ng klarong breakdown ng charges at masiguro na patas at makatwiran ang singil sa lahat ng consumers.,Overpricing,Medium
"The electricity charges in our area are very high. This is burdensome, especially for families who rely on electricity for daily needs. There is also no clear explanation as to why the rates increased. We hope the electric company provides a clear breakdown of charges and ensures that the rates are fair and reasonable for all consumers.",Overpricing,Medium
Mahal ang singil sa kuryente sa aming lugar. Mabigat ito lalo na sa mga pamilyang umaasa sa kuryente sa kanilang pang-araw-araw na pangangailangan. Wala ring malinaw na paliwanag kung bakit tumaas ang singil. Sana ay magbigay ang electric company ng malinaw na breakdown ng charges at masiguro na patas at makatwiran ang singil para sa lahat ng consumers.,Overpricing,Medium
"""Yung mga streetlights sa main road hindi gumagana. Madilim tuwing gabi kaya delikado para sa mga motorista at pedestrian. Mas mataas ang risk ng aksidente at kriminalidad sa lugar. Sana ay ma-repair agad ang mga streetlights para maging ligtas ang daan para sa lahat.""",Electricity Services,Medium
"The streetlights on the main road are not functioning. The area becomes very dark at night, making it dangerous for motorists and pedestrians. The risk of accidents and criminal activity is higher in the area. We hope the streetlights will be repaired promptly to make the road safe for everyone.",Electricity Services,Medium
Ang mga streetlights sa main road ay hindi gumagana. Madilim tuwing gabi kaya delikado para sa mga motorista at pedestrian. Mas mataas ang panganib ng aksidente at kriminalidad sa lugar. Sana ay maayos agad ang mga streetlights para maging ligtas ang daan para sa lahat.,Electricity Services,Medium
"Madaling brownout sa aming lugar at palaging nangyayari, kaya helpless ang community. Nawawalan kami ng kuryente kahit sa mga basic na pangangailangan tulad ng pag-aaral, pagluluto, at trabaho sa bahay. Nakakaapekto rin ito sa mga negosyo at sa kaligtasan ng mga residente. Sana ay masiguro ng electric company ang stable at reliable na supply ng kuryente.",Electricity Services,High
"Frequent brownouts occur in our area, leaving the community helpless. We lose electricity even for basic needs such as studying, cooking, and working from home. This also affects businesses and the safety of residents. We hope the electric company ensures a stable and reliable power supply",Electricity Services,High
"Palaging brownout sa aming lugar kaya helpless ang community. Nawawalan kami ng kuryente kahit sa mga basic na pangangailangan tulad ng pag-aaral, pagluluto, at trabaho sa bahay. Apektado rin ang mga negosyo at ang kaligtasan ng mga residente. Sana ay masiguro ng electric company ang stable at reliable na supply ng kuryente.",Electricity Services,High
Sumabog yung transformer sa aming barangay kaya nawalan ng kuryente ang buong area. Delikado ito dahil may mga exposed wires at maaaring magdulot ng aksidente o sunog. Nahirapan ang mga residente lalo na sa gabi at naapektuhan ang daily activities at negosyo. Sana ay agarang maayos o mapalitan ang transformer at maibalik ang kuryente sa lalong madaling panahon.,Electricity Services,High
"A transformer exploded in our barangay, causing a blackout in the entire area. This is dangerous due to exposed wires and the risk of accidents or fire. Residents have been inconvenienced, especially at night, and daily activities and businesses have been affected. We hope the transformer will be repaired or replaced immediately and that power will be restored as soon as possible.",Electricity Services,High
Sumabog ang transformer sa aming barangay kaya nawalan ng kuryente ang buong lugar. Delikado ito dahil may mga exposed wires at maaaring magdulot ng aksidente o sunog. Nahirapan ang mga residente lalo na sa gabi at naapektuhan ang pang-araw-araw na gawain at negosyo. Sana ay agad maayos o mapalitan ang transformer at maibalik ang kuryente sa lalong madaling panahon.,Electricity Services,High
"""Pinutol ang kuryente sa aming lugar nang walang abiso. Nahirapan ang mga residente lalo na sa mga estudyante, pamilya, at negosyo na umaasa sa kuryente para sa daily activities. Sana ay magbigay ang electric company ng malinaw na notice o warning bago putulin ang kuryente para makapaghanda ang lahat.",Electricity Services,High
"The electricity in our area was cut off without prior notice. Residents, especially students, families, and businesses, were greatly inconvenienced as they rely on power for daily activities. We hope the electric company provides clear notice or warnings before cutting electricity so everyone can prepare.",Electricity Services,High
"Pinutol ang kuryente sa aming lugar nang walang abiso. Nahirapan ang mga residente, lalo na ang mga estudyante, pamilya, at negosyo na umaasa sa kuryente para sa pang-araw-araw na gawain. Sana ay magbigay ang electric company ng malinaw na abiso o warning bago putulin ang kuryente para makapaghanda ang lahat.",Electricity Services,High
"Hindi transparent ang pondo sa proyekto sa opisina. Maraming residente ang nagtatanong kung saan napupunta ang pera at wala ring malinaw na ulat o breakdown ng gastos. Dahil dito, nagdududa ang mga tao kung tama ba ang paggamit ng pondo at kung akma sa scope ng proyekto. Sana ay magkaroon ng malinaw na report at public disclosure ang opisina para makita ng lahat kung paano ginagamit ang pondo.",Governance and Integrity Concerns,Medium
"The funds for the office project are not transparent. Many residents are asking where the money is going, and there is no clear report or breakdown of expenses. Because of this, people are left wondering whether the funds are being used properly and if they match the project’s scope. We hope the office provides a clear report and public disclosure so everyone can see how the funds are being used.",Governance and Integrity Concerns,Medium
"Hindi transparent ang pondo sa proyekto sa opisina. Maraming residente ang nagtatanong kung saan napupunta ang pera at wala ring malinaw na ulat o breakdown ng gastos. Dahil dito, nagdududa ang mga tao kung tama ba ang paggamit ng pondo at kung akma sa saklaw ng proyekto. Sana ay magkaroon ng malinaw na ulat at public disclosure ang opisina para makita ng lahat kung paano ginagamit ang pondo.",Governance and Integrity Concerns,Medium
"Humihingi ng suhol ang mga opisyal para ma-release ang mga dokumento sa city hall. Nakakafrustrate ito sa mga residente na kailangan ang mga papeles para sa trabaho, paaralan, o iba pang pangangailangan. Sana ay masiguro ng city hall na walang corruption at may malinaw na proseso para makuha ang dokumento nang walang dagdag na bayad.",Governance and Integrity Concerns,High
"Officials are asking for bribes to release documents at city hall. This is frustrating for residents who need these papers for work, school, or other essential needs. We hope the city hall ensures that there is no corruption and that a clear process is in place to obtain documents without additional charges.",Governance and Integrity Concerns,High
"Humihingi ng suhol ang mga opisyal para ma-release ang mga dokumento sa city hall. Nakakafrustrate ito sa mga residente na kailangan ang mga papeles para sa trabaho, paaralan, o iba pang pangangailangan. Sana ay masiguro ng city hall na walang corruption at may malinaw na proseso para makuha ang dokumento nang walang dagdag na bayad.",Governance and Integrity Concerns,High
Humihingi ng personal na pabor ang mga opisyal bago aprubahan ang mga papeles o proyekto. Nakakafrustrate ito sa mga residente dahil hindi patas ang proseso at naaapektuhan ang kanilang mga pangangailangan. Sana ay masiguro ng city hall o barangay na patas ang approval process at walang personal gain ang mga opisyal.,Governance and Integrity Concerns,High
Officials demand personal favors before approving documents or projects. This is frustrating for residents because the process becomes unfair and affects their needs. We hope the city hall or barangay ensures that the approval process is fair and that officials do not gain personally from it.,Governance and Integrity Concerns,High
Humihingi ng personal na pabor ang mga opisyal bago aprubahan ang mga papeles o proyekto. Nakakafrustrate ito sa mga residente dahil hindi patas ang proseso at naaapektuhan ang kanilang pangangailangan. Sana ay masiguro ng city hall o barangay na patas ang approval process at walang personal na pakinabang ang mga opisyal.,Governance and Integrity Concerns,High
"Humihingi ng pera ang mga opisyal para mapabilis ang proseso ng dokumento sa city hall. Nakakafrustrate ito sa mga residente lalo na kung kailangan nila ang papeles agad para sa trabaho, paaralan, o ibang mahahalagang pangangailangan. Sana ay masiguro ng city hall na walang corruption at may malinaw na proseso para makuha ang dokumento nang patas at walang dagdag na singil.",Governance and Integrity Concerns,High
"Officials are asking for money to speed up the processing of documents at city hall. This is frustrating for residents, especially when they need papers urgently for work, school, or other essential needs. We hope the city hall ensures there is no corruption and that a clear process is in place to obtain documents fairly without additional charges",Governance and Integrity Concerns,High
"Humihingi ng pera ang mga opisyal para mapabilis ang proseso ng dokumento sa city hall. Nakakafrustrate ito sa mga residente lalo na kung kailangan nila ang papeles agad para sa trabaho, paaralan, o ibang mahahalagang pangangailangan. Sana ay masiguro ng city hall na walang corruption at may malinaw na proseso para makuha ang dokumento nang patas at walang dagdag na singil.",Governance and Integrity Concerns,High
Maraming korapsyon sa mga proyekto ng gobyerno sa barangay. Hindi malinaw kung saan napupunta ang pondo at madalas kulang o sira ang resulta kumpara sa perang inilaan. Nakakafrustrate ito sa mga residente na umaasa sa maayos at patas na proyekto. Sana ay masiguro ng lokal na pamahalaan ang transparency at accountability sa lahat ng proyekto.,Governance and Integrity Concerns,High
"There is widespread corruption in government projects in the barangay. It is unclear where the funds are going, and often the results are incomplete or substandard compared to the allocated budget. This frustrates residents who rely on fair and properly executed projects. We hope the local government ensures transparency and accountability in all projects.",Governance and Integrity Concerns,High
Maraming korapsyon sa mga proyekto ng gobyerno sa barangay. Hindi malinaw kung saan napupunta ang pondo at madalas kulang o sira ang resulta kumpara sa inilaan na budget. Nakakafrustrate ito sa mga residente na umaasa sa maayos at patas na proyekto. Sana ay masiguro ng lokal na pamahalaan ang transparency at accountability sa lahat ng proyekto.,Governance and Integrity Concerns,High
May katiwalian sa pagkuha ng permit sa munisipyo. Humihingi ng suhol at personal na pabor ang ilang opisyal bago maaprubahan ang mga permit. Nakakafrustrate ito sa mga residente at negosyo na sumusunod sa tamang proseso. Sana ay masiguro ng munisipyo na patas at transparent ang proseso ng pagkuha ng permit para sa lahat.,Governance and Integrity Concerns,High
There is corruption in obtaining permits at the municipality. Some officials ask for bribes or personal favors before approving permits. This frustrates residents and businesses who follow the proper process. We hope the municipality ensures that the permit process is fair and transparent for everyone.,Governance and Integrity Concerns,High
May katiwalian sa pagkuha ng permit sa munisipyo. Humihingi ng suhol at personal na pabor ang ilang opisyal bago maaprubahan ang mga permit. Nakakafrustrate ito sa mga residente at negosyo na sumusunod sa tamang proseso. Sana ay masiguro ng munisipyo na patas at transparent ang proseso ng pagkuha ng permit para sa lahat.,Governance and Integrity Concerns,High
"""Nanghihingi ng lagay sa barangay ang ilang opisyal bago maaprubahan ang mga request o dokumento ng mga residente. Nakakafrustrate ito at hindi patas para sa mga taong sumusunod sa tamang proseso. Sana ay masiguro ng barangay na walang katiwalian at transparent ang proseso para sa lahat.",Governance and Integrity Concerns,Medium
"There is widespread corruption in government projects in the barangay. It is unclear where the funds are going, and often the results are incomplete or substandard compared to the allocated budget. This frustrates residents who rely on fair and properly executed projects. We hope the local government ensures transparency and accountability in all projects.""",Governance and Integrity Concerns,Medium
Maraming korapsyon sa mga proyekto ng gobyerno sa barangay. Hindi malinaw kung saan napupunta ang pondo at madalas kulang o sira ang resulta kumpara sa inilaan na budget. Nakakafrustrate ito sa mga residente na umaasa sa maayos at patas na proyekto. Sana ay masiguro ng lokal na pamahalaan ang transparency at accountability sa lahat ng proyekto.,Governance and Integrity Concerns,Medium
Nag-iisyu ng fake receipts ang ilang opisyal sa barangay o city hall. Nakakafrustrate at nakakasama sa mga residente dahil nagdududa kung tama ba ang gastos at kung nasusunod ang transparency sa pondo. Sana ay masiguro ng mga awtoridad na lahat ng resibo ay lehitimo at may tamang dokumentasyon para protektado ang mga residente.,Governance and Integrity Concerns,High
Some officials in the barangay or city hall issue fake receipts. This is frustrating and harmful to residents because it raises doubts about whether funds are used correctly and whether transparency is being followed. We hope the authorities ensure that all receipts are legitimate and properly documented to protect residents.,Governance and Integrity Concerns,High
Nag-iisyu ng pekeng resibo ang ilang opisyal sa barangay o city hall. Nakakafrustrate at nakasasama sa mga residente dahil nagdududa kung tama ba ang paggamit ng pondo at kung nasusunod ang transparency. Sana ay masiguro ng mga awtoridad na lahat ng resibo ay lehitimo at may tamang dokumentasyon para protektado ang mga residente.,Governance and Integrity Concerns,High
"May katiwalian sa bidding ng mga proyekto ng gobyerno. Madalas ang mga kontrata ay napupunta sa hindi karapat-dapat o konektadong kumpanya, imbes na sa mga may tamang kakayahan at experience. Nakakafrustrate ito at nakakasama sa kalidad ng proyekto. Sana ay masiguro ng lokal na pamahalaan ang patas at transparent na bidding process para sa lahat.",Governance and Integrity Concerns,High
"There is corruption in government project bidding. Often, contracts go to undeserving or connected companies instead of those with the proper skills and experience. This is frustrating and affects the quality of projects. We hope the local government ensures a fair and transparent bidding process for everyone.",Governance and Integrity Concerns,High
